pdb,group,type,group2,ortholog
7sxy,d614g,cryo,d614g,H.sapiens
6lzg,d614g,xray,d614g,H.sapiens
6m0j,d614g,xray,d614g,H.sapiens
6m17,d614g,cryo,d614g,H.sapiens
d614g,d614g,NA,d614g,H.sapiens
8dlk,alpha,cryo,alpha,H.sapiens
7mjn,alpha,cryo,alpha,H.sapiens
7ekf,alpha,xray,alpha,H.sapiens
7r0z,alpha,cruo,alpha,H.sapiens
alpha,alpha,NA,alpha,H.sapiens
7vx4,beta,cryo,beta,H.sapiens
7v80,beta,cryo,beta,H.sapiens
8dln,beta,cryo,beta,H.sapiens
7ekg,beta,xray,beta,H.sapiens
7sy6,beta,cryo,beta,H.sapiens
beta,beta,NA,beta,H.sapiens
7ekc,gamma,xray,gamma,H.sapiens
7v84,gamma,cryo,gamma,H.sapiens
8dlq,gamma,cryo,gamma,H.sapiens
7sy8,gamma,cryo,gamma,H.sapiens
gamma,gamma,NA,gamma,H.sapiens
7w9i,delta,cryo,delta,H.sapiens
7v8b,delta,cryo,delta,H.sapiens
7tew,delta,cryo,delta,H.sapiens
7wbq,delta,xray,delta,H.sapiens
delta,delta,NA,delta,H.sapiens
7wk6,ba1,cryo,ba1,H.sapiens
7t9l,ba1,cryo,ba1,H.sapiens
7wpb,ba1,cryo,ba1,H.sapiens
7u0n,ba1,xray,ba1,H.sapiens
7wbp,ba1,xray,ba1,H.sapiens
7whh,ba1,xray,ba1,H.sapiens
ba1,ba1,NA,ba1,H.sapiens
7sy4,misc,cryo,alpha-beta-gamma_intermediate,H.sapiens
7sy0,misc,cryo,delta_like,H.sapiens
7sy2,misc,cryo,alpha-like,H.sapiens
7xa7,d614g,xray,d614g,R.affinis
8aqu,ba1,cryo,ba1,M.musculus
8dma,ba1,cryo,ba1,M.musculus
7xo6,ba1,cryo,ba1,M.musculus
7w6u,d614g,xray,d614g,E.caballus
7fc6,d614g,xray,d614g,E.caballus
7c8j,d614g,xray,d614g,R.macrotis
