,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,484,703,704,734,432,546,465,469,543,535,492,492,465
1,484,0,397,382,444,317,328,239,448,302,341,403,518,339
2,703,397,0,61,213,452,385,332,474,350,230,540,580,508
3,704,382,61,0,228,421,350,297,443,319,195,531,549,493
4,734,444,213,228,0,649,412,359,614,547,257,571,611,555
5,432,317,452,421,649,0,469,412,253,265,482,464,522,479
6,546,328,385,350,412,469,0,257,459,464,155,517,296,480
7,465,239,332,297,359,412,257,0,330,322,102,278,521,365
8,469,448,474,443,614,253,459,330,0,260,414,368,564,463
9,543,302,350,319,547,265,464,322,260,0,424,378,525,527
10,535,341,230,195,257,482,155,102,414,424,0,362,419,432
11,492,403,540,531,571,464,517,278,368,378,362,0,516,449
12,492,518,580,549,611,522,296,521,564,525,419,516,0,579
13,465,339,508,493,555,479,480,365,463,527,432,449,579,0
